lineID, stationID, stationName
0, 0, Balintawak
0, 1, Kaingin Road
0, 2, Mu̱oz
0, 3, Bansalangin
0, 4, North Ave.
0, 5, Trinoma
0, 6, Quezon Ave.
0, 7, NIA Road
0, 8, Timog
0, 9, Kamuning
0, 10, New York - Nepa Q-Mart
0, 11, Monte De Piedad
0, 12, Aurora Blvd.
0, 13, Mc Arthur - Farmers
0, 14, P. Tuazon
0, 15, Main Ave.
0, 16, Santolan
0, 17, White Plains - Connecticut
0, 18, Ortigas Ave.
0, 19, SM Megamall
0, 20, Shaw Blvd.
0, 21, Reliance
0, 22, Pioneer - Boni
0, 23, Guadalupe
0, 24, Orense
0, 25, Kalayaan - Estrella
0, 26, Buendia
0, 27, Ayala Ave.
0, 28, Arnaiz - Pasay Road
0, 29, Magallanes
0, 30, Malibay
0, 31, Tramo
0, 32, Taft Ave.
0, 33, F.B. Harrison
0, 34, Roxas Boulevard
0, 35, Macapagal Ave.
0, 36, Mall of Asia
1, 0, Batasan
1, 1, St. Peter's Church
1, 2, Ever Gotesco
1, 3, Diliman Preparatory School
1, 4, Zuzuarregi
1, 5, General Malvar Hospital
1, 6, Tandang Sora Eastside
1, 7, Tandang Sora Westside
1, 8, Central Ave
1, 9, Magsaysay Ave
1, 10, University Ave
1, 11, Philcoa
2, 0, Elliptical Road
2, 1, Agham Road
2, 2, Bantayog Road
2, 3, Edsa
2, 4, SGT. Esguera
2, 5, Scout Albano
2, 6, Scout Borromeo
2, 7, Scout Santiago
2, 8, Timog
2, 9, Scout Reyes
2, 10, Scout Magbanua
2, 11, Roces Avenue
2, 12, Roosevelt Avenue
2, 13, Dr. Garcia Sr.
2, 14, Scout Chuatoco
2, 15, G. Araneta Ave.
2, 16, Sto. Domingo
2, 17, Biak na Bato
2, 18, Banawe
2, 19, Cordillera
2, 20, D. Tuazon
2, 21, Speaker Perez
2, 22, Apo Avenue
2, 23, Kanlaon
2, 24, Mayon
3, 0, Welcome Rotunda
3, 1, Bluementritt
3, 2, A. Maceda
3, 3, Antipolo
3, 4, Vicente Cruz
3, 5, Gov. Forbes - Lacson
3, 6, P.Noval
3, 7, Lerma
4, 0, Tandang Sora
4, 1, Capitol Hills
4, 2, University of the Philippines
4, 3, C.P. Garcia
4, 4, Miriam College
4, 5, Ateneo De Manila University
4, 6, Xavierville
4, 7, Aurora Boulevard
4, 8, P. Tuazon
4, 9, Bonny Serrano
4, 10, Libis Flyover
4, 11, Eastwood
4, 12, Green Meadows
4, 13, Ortigas Ave.
4, 14, J. Vargas
4, 15, Lanuza
4, 16, Bagong Ilog
4, 17, Kalayaan
4, 18, Market! Market!
5, 0, Santolan
5, 1, Madison
5, 2, Roosevelt
5, 3, Club Filipino
5, 4, Wilson
5, 5, Connecticut
5, 6, La Salle Greenhills
5, 7, POEA
5, 8, EDSA Shrine
5, 9, San Miguel Ave
5, 10, Meralco Ave
5, 11, Medical City
5, 12, Lanuza Ave
5, 13, Greenmeadows Ave
5, 14, C5 Flyover
6, 0, SM City Marikina
6, 1, LRT-2 Station
6, 2, Dona Juana
6, 3, Amang Rodriguez
6, 4, F. Mariano Ave
6, 5, Robinson's Metro East
6, 6, San Benildo School
7, 0, Anda Circle
7, 1, Finance Road
7, 2, U.N. Avenue
7, 3, Pedro Gil
7, 4, Rajah Sulayman
7, 5, Quirino
7, 6, Pablo Ocampo
7, 7, Buendia
7, 8, Edsa Extension
7, 9, Baclaran
7, 10, Airport Road
7, 11, Coastal Road
8, 0, Magallanes
8, 1, Nichols
8, 2, C5 On-ramp
8, 3, Merville Exit
8, 4, Bicutan Exit
8, 5, Sucat Exit
8, 6, Alabang Exit
